          <idle>-0       [000] ..s2. 1295568.309267: bpf_trace_printk: port: 11211, total_metrics_size is -22 
          <idle>-0       [001] .Ns2. 1295576.386213: bpf_trace_printk: Elapsed cycles are 248872
          <idle>-0       [001] .Ns2. 1295577.386331: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295577.386338: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295577.386343: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295577.386348: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295577.386353: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295577.386359: bpf_trace_printk: port: 11216, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295577.386364: bpf_trace_printk: port: 11217, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295577.386368: bpf_trace_printk: port: 11218, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295577.386374: bpf_trace_printk: port: 11219, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295577.386380: bpf_trace_printk: port: 11220, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295577.386381: bpf_trace_printk: Elapsed cycles are 242630
          <idle>-0       [001] .Ns2. 1295578.386497: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295578.386504: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295578.386509: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295578.386514: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295578.386519: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295578.386524: bpf_trace_printk: port: 11216, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295578.386529: bpf_trace_printk: port: 11217, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295578.386534: bpf_trace_printk: port: 11218, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295578.386542: bpf_trace_printk: port: 11219, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295578.386547: bpf_trace_printk: port: 11220, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295578.386548: bpf_trace_printk: Elapsed cycles are 250150
          <idle>-0       [001] .Ns2. 1295579.386663: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295579.386670: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295579.386675: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295579.386680: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295579.386685: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295579.386690: bpf_trace_printk: port: 11216, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295579.386695: bpf_trace_printk: port: 11217, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295579.386700: bpf_trace_printk: port: 11218, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295579.386705: bpf_trace_printk: port: 11219, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295579.386710: bpf_trace_printk: port: 11220, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295579.386713: bpf_trace_printk: Elapsed cycles are 238978
          <idle>-0       [001] .Ns2. 1295580.386829: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295580.386836: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295580.386841: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295580.386846: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295580.386851: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295580.386856: bpf_trace_printk: port: 11216, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295580.386861: bpf_trace_printk: port: 11217, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295580.386866: bpf_trace_printk: port: 11218, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295580.386871: bpf_trace_printk: port: 11219, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295580.386878: bpf_trace_printk: port: 11220, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295580.386878: bpf_trace_printk: Elapsed cycles are 241550
          <idle>-0       [001] .Ns2. 1295581.386994: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295581.387001: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295581.387006: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295581.387011: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295581.387016: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295581.387021: bpf_trace_printk: port: 11216, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295581.387026: bpf_trace_printk: port: 11217, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295581.387031: bpf_trace_printk: port: 11218, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295581.387036: bpf_trace_printk: port: 11219, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295581.387040: bpf_trace_printk: port: 11220, total_metrics_size is 656 

